raw_row_number,date,time,location,lat,lng,geocode_source,beat,district,subject_age,subject_race,subject_sex,officer_id_hash,officer_age,officer_race,officer_sex,officer_years_of_service,unit,type,violation,arrest_made,citation_issued,outcome,contraband_found,contraband_drugs,contraband_weapons,contraband_alcohol,contraband_other,search_conducted,search_person,search_vehicle,vehicle_make,vehicle_model,raw_race,raw_driver_race
1963614,2020-01-04,23:50:00,11XX W 71ST ST,41.7652982430001,-87.625387281,SU,733,7,20,black,male,,,,,,7,vehicular,"LIGHT, LICENSE PLATE",,,,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,CHEVROLET,IMPALA,BLACK,
1040728,2018-06-01,15:33:00,45XX N SHERIDAN RD,41.9572212640001,-87.6546139,SU,1914,19,53,white,male,,,,,,19,vehicular,SEAT SAFETY BELT-FRONT SEAT,,,,,,,FALSE,,FALSE,FALSE,FALSE,JEEP,CHEROKEE,WHITE,
1879204,2019-11-07,18:05:00,76XX S EXCHANGE AVE,41.716385964,-87.552347135,SU,421,4,65,black,male,,,,,,4,vehicular,"LIGHT, TAIL LIGHTS REQUIRED",,,,,,,FALSE,,FALSE,FALSE,FALSE,CHEVROLET,UNKNOWN,BLACK,
1403057,2019-02-04,20:38:00,67XX S ASHLAND AVE,41.880304574,-87.66673314,SU,725,7,62,black,male,,,,,,7,vehicular,OPERATOR SIGNAL- MEANS,,,,,,,FALSE,,FALSE,FALSE,FALSE,CHEVROLET,UNKNOWN,BLACK,
1308171,2018-12-04,16:20:00,79XX S KENWOOD AVE,41.7696321490001,-87.592261701,SU,411,4,51,black,female,,,,,,4,vehicular,HEADLIGHT TWO REQUIRED-MOTOR VEHICLE,,,,,,,FALSE,,FALSE,FALSE,FALSE,FORD,UNKNOWN,BLACK,
484654,2014-10-11,18:00:00,3501 MARQUETTE RD W,41.7715345,-87.7112816,GM,,,,,male,,,black,female,11,,vehicular,DISOBEY RED CIRCULAR STEADY SIGNAL STOP,,TRUE,citation,,,,FALSE,,FALSE,FALSE,FALSE,,,,
1347437,2019-01-02,12:08:00,4XX S LARAMIE AVE,41.8803125260001,-87.7551126719999,SU,1533,15,39,black,male,,,,,,15,vehicular,REGISTRATION PLATES,,,,,,,FALSE,,FALSE,FALSE,FALSE,TOYOTA/COROLLA,TOYOTA/COROLLA,BLACK,
125547,2014-10-12,05:00:00,,,,,,,23,black,female,,,,,,,vehicular,IVC - DRIVING 11-14 MPH ABOVE SPEED LIMIT,TRUE,,arrest,,,,FALSE,,FALSE,FALSE,FALSE,,,BLACK,
814510,2015-07-19,12:00:00,500 MICHIGAN AVE N,41.8911632,-87.6246865,GM,,,,,male,,,white,male,16,,vehicular,LICENSE SUPENSION AND REVOCATION -CHAUFFEUR LICENSE,,TRUE,citation,,,,FALSE,,FALSE,FALSE,FALSE,,,,
331513,2014-12-16,07:00:00,1500 47TH ST W,41.8090072,-87.6628136,GM,,,,,male,,,white,male,11,,vehicular,DISOBEY RED CIRCULAR STEADY SIGNAL STOP,,TRUE,citation,,,,FALSE,,FALSE,FALSE,FALSE,,,,
484780,2014-10-06,19:00:00,638 PERSHING RD E,41.824142,-87.6109157,GM,,,,,male,,,hispanic,male,9,,vehicular,DOUBLE PARKING/NO STANDING,,TRUE,citation,,,,FALSE,,FALSE,FALSE,FALSE,,,,
2086138,2020-03-14,00:52:00,71XX S WESTERN AVE,41.87998872,-87.6863306399999,SU,832,8,26,black,female,,,,,,8,vehicular,HEADLIGHT TWO REQUIRED-MOTOR VEHICLE,,,,,,,FALSE,,FALSE,FALSE,FALSE,HYUNDAI,ACCENT,BLACK,
1489277,2019-03-23,00:26:00,40XX W 31ST ST,41.8383564690001,-87.6281777,SU,1031,10,24,hispanic,male,,,,,,10,vehicular,IVC - DRIVING UNDER INFLUENCE OF ALCOHOL,,,,,,,FALSE,,FALSE,FALSE,FALSE,MERCURY,UNKNOWN,HISPANIC,
1587400,2019-05-17,01:24:00,30XX S AVERS AVE,41.850747025,-87.7210785,SU,1031,10,54,hispanic,male,,,,,,10,vehicular,IVC - TRANSPORT/CARRY ALCOHOL LIQUOR/PASSENGER,,,,,,,FALSE,,FALSE,FALSE,FALSE,FORD,UNKNOWN,HISPANIC,
1131645,2018-08-07,16:58:00,133XX S AVENUE O,41.692570248,-87.540111,SU,433,4,47,white,female,,,,,,4,vehicular,STOP AT STOP SIGN,,,,,,,FALSE,,FALSE,FALSE,FALSE,DODGE,CHARGER,WHITE,
419719,2015-11-07,19:00:00,5500 NASHVILLE AVE S,41.7917701,-87.7866655,GM,,,,,male,,,white,female,12,,vehicular,DISOBEY TURN SIGNAL INDICATOR,,TRUE,citation,,,,FALSE,,FALSE,FALSE,FALSE,,,,
1569599,2019-05-07,08:30:00,6XX E 71ST ST,41.7656296170001,-87.624736539,SU,322,3,41,black,male,,,,,,3,vehicular,IVC - FAIL TO REDUCE SPEED,,,,,,,FALSE,,FALSE,FALSE,FALSE,LINCOLN,OTHER (EXPLAIN IN NARRATIVE),BLACK,
1661163,2019-06-27,20:45:00,41XX S SACRAMENTO AVE,41.8801737090001,-87.701110568,SU,921,9,32,hispanic,female,,,,,,211,vehicular,HEADLIGHT TWO REQUIRED-MOTOR VEHICLE,,,,,,,FALSE,,FALSE,FALSE,FALSE,CHEVROLET,MALIBU (CHEVELLE),HISPANIC,
817003,2015-11-10,07:00:00,5311 MADISON ST W,41.8800434,-87.7580541,GM,,,,,female,,,black,female,14,,vehicular,INSURANCE - OPERATE MTR VEHICLE WITHOUT,,TRUE,citation,,,,FALSE,,FALSE,FALSE,FALSE,,,,
